AWAY TEAM,HOME TEAM,Location / Weather,Date
Cincinnati Bengals,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",31-Dec
Green Bay Packers,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",31-Dec
Las Vegas Raiders,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",31-Dec
Los Angeles Rams,New York Giants,"MetLife Stadium, East Rutherford, NJ",31-Dec
Los Angeles Chargers,Denver Broncos,"Empower Field at Mile High, Denver, CO",31-Dec
Miami Dolphins,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",31-Dec
New England Patriots,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",31-Dec
New Orleans Saints,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",31-Dec
Pittsburgh Steelers,Seattle Seahawks,"Lumen Field, Seattle, WA",31-Dec
San Francisco 49ers,Washington Commanders,"FedExField, Landover, MD",31-Dec
Tennessee Titans,Houston Texans,"NRG Stadium, Houston, TX",31-Dec
Kansas City Chiefs,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",7-Jan
Atlanta Falcons,New Orleans Saints,"Caesars Superdome, New Orleans, LA",7-Jan
Buffalo Bills,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",7-Jan
Chicago Bears,Green Bay Packers,"Lambeau Field, Green Bay, WI",7-Jan
Cleveland Browns,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",7-Jan
Dallas Cowboys,Washington Commanders,"FedExField, Landover, MD",7-Jan
Denver Broncos,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",7-Jan
Houston Texans,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",7-Jan
Jacksonville Jaguars,Tennessee Titans,"Nissan Stadium, Nashville, TN",7-Jan
Los Angeles Rams,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",7-Jan
Minnesota Vikings,Detroit Lions,"Ford Field, Detroit, MI",7-Jan
New York Jets,New England Patriots,"Gillette Stadium, Foxboro, MA",7-Jan
Philadelphia Eagles,New York Giants,"MetLife Stadium, East Rutherford, NJ",7-Jan
Pittsburgh Steelers,Baltimore Ravens,"M&T Bank Stadium, Baltimore, MD",7-Jan
Seattle Seahawks,Arizona Cardinals,"State Farm Stadium, Glendale, AZ",7-Jan
Tampa Bay Buccaneers,Carolina Panthers,"Bank of America Stadium, Charlotte, NC",7-Jan
