AWAY TEAM,HOME TEAM,Unnamed: 5,Date
New York,Sacramento,,3/16
Phoenix,Milwaukee,,3/17
Miami,Detroit,,3/17
Denver,Dallas,,3/17
Toronto,Orlando,,3/17
Boston,Washington,,3/17
Brooklyn,San Antonio,,3/17
Atlanta,LA,,3/17
Cleveland,Indiana,,3/18
Detroit,Boston,,3/18
Miami,Philadelphia,,3/18
Portland,Chicago,,3/18
Minnesota,Utah,,3/18
New York,Golden State,,3/18
Memphis,Sacramento,,3/18
Atlanta,Los Angeles,,3/18
Charlotte,Orlando,,3/19
Houston,Washington,,3/19
New Orleans,Brooklyn,,3/19
Dallas,San Antonio,,3/19
Denver,Minnesota,,3/19
Miami,Cleveland,,3/20
Indiana,Detroit,,3/20
Milwaukee,Boston,,3/20
Sacramento,Toronto,,3/20
Utah,Oklahoma City,,3/20
Memphis,Golden State,,3/20
Philadelphia,Phoenix,,3/20
LA,Portland,,3/20
New Orleans,Orlando,,3/21
Sacramento,Washington,,3/21
Chicago,Houston,,3/21
Brooklyn,Milwaukee,,3/21
Utah,Dallas,,3/21
New York,Denver,,3/21
Atlanta,Phoenix,,3/21
Boston,Detroit,,3/22
Oklahoma City,Toronto,,3/22
New Orleans,Miami,,3/22
Cleveland,Minnesota,,3/22
Memphis,San Antonio,,3/22
Indiana,Golden State,,3/22
LA,Portland,,3/22
Philadelphia,Los Angeles,,3/22
Brooklyn,New York,,3/23
Sacramento,Orlando,,3/23
Charlotte,Atlanta,,3/23
Toronto,Washington,,3/23
Boston,Chicago,,3/23
Utah,Houston,,3/23
Phoenix,San Antonio,,3/23
Denver,Portland,,3/23
New Orleans,Detroit,,3/24
Philadelphia,LA,,3/24
Cleveland,Miami,,3/24
Oklahoma City,Milwaukee,,3/24
Golden State,Minnesota,,3/24
Indiana,Los Angeles,,3/24
Charlotte,Cleveland,,3/25
Boston,Atlanta,,3/25
Detroit,New York,,3/25
Brooklyn,Toronto,,3/25
Washington,Chicago,,3/25
Portland,Houston,,3/25
Phoenix,San Antonio,,3/25
Memphis,Denver,,3/25
Dallas,Utah,,3/25
Philadelphia,Sacramento,,3/25
Indiana,LA,,3/25
Golden State,Miami,,3/26
Los Angeles,Milwaukee,,3/26
Oklahoma City,New Orleans,,3/26
Dallas,Sacramento,,3/26
Cleveland,Charlotte,,3/27
Golden State,Orlando,,3/27
Brooklyn,Washington,,3/27
Portland,Atlanta,,3/27
LA,Philadelphia,,3/27
New York,Toronto,,3/27
Indiana,Chicago,,3/27
Los Angeles,Memphis,,3/27
Detroit,Minnesota,,3/27
Houston,Oklahoma City,,3/27
San Antonio,Utah,,3/27
Phoenix,Denver,,3/27
Boston,Atlanta,,3/28
Milwaukee,New Orleans,,3/28
Golden State,Charlotte,,3/29
Los Angeles,Indiana,,3/29
LA,Orlando,,3/29
Detroit,Washington,,3/29
Chicago,Brooklyn,,3/29
Philadelphia,Cleveland,,3/29
Portland,Miami,,3/29
Phoenix,Oklahoma City,,3/29
New York,San Antonio,,3/29
Minnesota,Denver,,3/29
Houston,Utah,,3/29
Dallas,Sacramento,,3/29
Boston,New Orleans,,3/30
Memphis,Orlando,,3/30
Milwaukee,Atlanta,,3/30
Cleveland,Denver,,3/31
Los Angeles,Brooklyn,,3/31
LA,Charlotte,,3/31
Philadelphia,Toronto,,3/31
Miami,Washington,,3/31
Oklahoma City,New York,,3/31
Dallas,Houston,,3/31
Chicago,Minnesota,,3/31
Golden State,San Antonio,,3/31
Utah,Sacramento,,3/31
Boston,Charlotte,,4/1
Memphis,Detroit,,4/1
Brooklyn,Indiana,,4/1
Portland,Orlando,,4/1
Atlanta,Chicago,,4/1
Phoenix,New Orleans,,4/1
Oklahoma City,Philadelphia,,4/2
Los Angeles,Toronto,,4/2
Milwaukee,Washington,,4/2
New York,Miami,,4/2
Golden State,Dallas,,4/2
Houston,Minnesota,,4/2
San Antonio,Denver,,4/2
Cleveland,Utah,,4/2
LA,Sacramento,,4/2
Portland,Charlotte,,4/3
Los Angeles,Washington,,4/3
Detroit,Atlanta,,4/3
Oklahoma City,Boston,,4/3
Indiana,Brooklyn,,4/3
Memphis,Milwaukee,,4/3
Toronto,Minnesota,,4/3
Orlando,New Orleans,,4/3
Cleveland,Phoenix,,4/3
Philadelphia,Miami,,4/4
Sacramento,New York,,4/4
Golden State,Houston,,4/4
Denver,LA,,4/4
Orlando,Charlotte,,4/5
Oklahoma City,Indiana,,4/5
Portland,Washington,,4/5
Sacramento,Boston,,4/5
New York,Chicago,,4/5
Miami,Houston,,4/5
Detroit,Memphis,,4/5
Toronto,Milwaukee,,4/5
San Antonio,New Orleans,,4/5
Atlanta,Dallas,,4/5
Minnesota,Phoenix,,4/5
Utah,LA,,4/5
Cleveland,Los Angeles,,4/6
Detroit,Brooklyn,,4/6
Philadelphia,Memphis,,4/6
Atlanta,Denver,,4/6
Houston,Dallas,,4/7
Cleveland,LA,,4/7
Miami,Indiana,,4/7
Portland,Boston,,4/7
Oklahoma City,Charlotte,,4/7
Chicago,Orlando,,4/7
Washington,Toronto,,4/7
New Orleans,Phoenix,,4/7
New York,Milwaukee,,4/7
Philadelphia,San Antonio,,4/7
Sacramento,Brooklyn,,4/7
Utah,Golden State,,4/7
Minnesota,Los Angeles,,4/7
